327156,-0.08,-0.06,-0.02,-0.00,-0.01,1.00,0.08,-0.03,-0.53
332156,-0.08,0.18,-0.03,0.00,-0.01,1.01,0.08,-0.03,-0.53
337156,-0.03,0.18,-0.14,-0.00,-0.01,1.00,0.08,-0.03,-0.53
342156,0.05,0.06,-0.09,-0.00,0.00,0.99,0.08,-0.03,-0.53
347156,0.15,0.16,0.08,0.00,0.00,1.00,0.08,-0.03,-0.53
352156,-0.02,-0.08,-0.02,-0.00,0.00,1.01,0.08,-0.03,-0.53
357160,-0.05,-0.07,0.03,-0.01,0.00,1.03,0.08,-0.03,-0.53
362156,0.03,-0.05,0.02,0.00,0.01,1.01,0.08,-0.03,-0.53
367156,-0.09,0.07,-0.02,0.00,0.00,1.00,0.08,-0.03,-0.53
372160,-0.06,-0.05,0.05,-0.00,-0.00,0.98,0.08,-0.03,-0.53
377156,-0.01,0.03,0.05,-0.00,-0.00,0.99,0.08,-0.03,-0.53
382160,-0.18,0.18,0.19,-0.01,0.00,1.00,0.08,-0.03,-0.53
387156,0.00,0.14,0.01,0.00,0.00,1.01,0.08,-0.03,-0.54
392156,-0.04,-0.13,0.00,0.00,-0.00,1.00,0.08,-0.03,-0.54
397160,-0.04,0.01,-0.12,0.00,0.00,0.99,0.08,-0.03,-0.54
402160,-0.04,0.06,0.04,0.01,-0.01,0.99,0.08,-0.03,-0.54
407156,0.06,-0.01,0.01,-0.00,-0.01,1.00,0.08,-0.03,-0.53
412156,0.02,0.15,-0.07,0.00,-0.00,1.00,0.08,-0.03,-0.54
417160,-0.09,0.00,0.05,-0.00,0.00,0.99,0.08,-0.03,-0.53
422156,0.03,0.08,-0.02,0.00,0.01,1.02,0.08,-0.03,-0.53
427160,0.15,1.03,0.10,0.01,0.01,1.06,0.08,-0.03,-0.53
432156,1.34,-1.59,0.09,-0.02,-0.03,0.94,0.08,-0.02,-0.53
437156,-0.04,4.07,-0.05,-0.01,0.01,0.90,0.08,-0.02,-0.53
442160,0.85,-2.34,-0.12,-0.01,-0.01,0.99,0.08,-0.02,-0.53
447160,0.32,1.77,0.10,-0.01,0.00,1.07,0.08,-0.02,-0.53
452156,-0.50,-0.48,0.28,-0.04,-0.01,1.12,0.08,-0.03,-0.53
457156,-0.39,2.05,1.15,-0.02,-0.01,0.98,0.08,-0.03,-0.53
462160,-0.41,1.82,4.71,-0.09,-0.00,0.95,0.08,-0.03,-0.53
467156,-0.15,-0.41,8.04,-0.07,-0.02,0.93,0.08,-0.03,-0.54
472156,-0.54,0.60,12.08,-0.07,-0.02,1.03,0.08,-0.03,-0.53
477156,-0.66,0.37,15.55,-0.07,-0.02,1.04,0.08,-0.03,-0.54
482156,-0.82,0.69,19.29,-0.07,-0.02,1.03,0.08,-0.03,-0.53
487160,-0.95,0.65,22.83,-0.08,-0.03,0.95,0.08,-0.03,-0.53
492156,-0.82,0.12,24.99,-0.06,-0.02,0.91,0.08,-0.03,-0.53
497160,-0.47,0.50,25.80,-0.04,-0.00,0.96,0.08,-0.03,-0.53
502156,-0.55,-0.91,26.08,-0.00,0.01,1.03,0.08,-0.03,-0.53
507160,-0.82,0.37,25.90,0.01,0.02,1.05,0.08,-0.03,-0.53
